timestamp,instrument_id,open,high,low,close,volume
2026-01-02T15:00:00+08:00,CN_A:000001.SZ,12.00,12.40,11.90,12.30,900000
2026-01-02T16:00:00+08:00,HK:00700.HK,300.00,305.00,298.00,304.00,1200000
2026-01-02T16:00:00-05:00,US:AAPL,180.00,183.00,178.00,182.00,50000000
2026-01-02T23:59:00+00:00,CRYPTO:BTC-USD,65000.00,65500.00,64500.00,65200.00,21000
2026-01-05T15:00:00+08:00,CN_A:000001.SZ,12.30,12.60,12.10,12.50,910000
2026-01-05T16:00:00+08:00,HK:00700.HK,304.00,309.00,302.00,308.00,1180000
2026-01-05T16:00:00-05:00,US:AAPL,182.00,185.00,181.00,184.00,48000000
2026-01-05T23:59:00+00:00,CRYPTO:BTC-USD,65200.00,66000.00,65000.00,65800.00,22000
2026-01-06T15:00:00+08:00,CN_A:000001.SZ,12.50,12.80,12.40,12.70,880000
2026-01-06T16:00:00+08:00,HK:00700.HK,308.00,312.00,305.00,310.00,1250000
2026-01-06T16:00:00-05:00,US:AAPL,184.00,186.00,182.00,183.00,51000000
2026-01-06T23:59:00+00:00,CRYPTO:BTC-USD,65800.00,66200.00,65400.00,66000.00,23000
2026-01-07T15:00:00+08:00,CN_A:000001.SZ,12.70,13.10,12.60,13.00,930000
2026-01-07T16:00:00+08:00,HK:00700.HK,310.00,311.00,304.00,305.00,1300000
2026-01-07T16:00:00-05:00,US:AAPL,183.00,187.00,182.00,186.00,52000000
2026-01-07T23:59:00+00:00,CRYPTO:BTC-USD,66000.00,67500.00,65800.00,67200.00,24000
2026-01-08T15:00:00+08:00,CN_A:000001.SZ,13.00,13.20,12.80,12.90,940000
2026-01-08T16:00:00+08:00,HK:00700.HK,305.00,307.00,300.00,301.00,1400000
2026-01-08T16:00:00-05:00,US:AAPL,186.00,190.00,185.00,189.00,53000000
2026-01-08T23:59:00+00:00,CRYPTO:BTC-USD,67200.00,68000.00,66800.00,67600.00,23500
2026-01-09T15:00:00+08:00,CN_A:000001.SZ,12.90,13.30,12.80,13.20,960000
2026-01-09T16:00:00+08:00,HK:00700.HK,301.00,305.00,299.00,303.00,1350000
2026-01-09T16:00:00-05:00,US:AAPL,189.00,191.00,187.00,188.00,54000000
2026-01-09T23:59:00+00:00,CRYPTO:BTC-USD,67600.00,69000.00,67400.00,68800.00,26000
